Designator,Mid X,Mid Y,Rotation,Layer
R107,117.25,21.0,180.0,top
R108,120.25,23.5,180.0,top
R109,120.25,22.5,180.0,top
R11,76.5,41.25,90.0,top
R110,120.75,21.0,180.0,top
R111,123.75,23.5,180.0,top
R112,123.75,22.5,180.0,top
R113,124.25,21.0,180.0,top
R114,99.25,57.5,180.0,top
R115,99.25,56.5,180.0,top
R116,99.75,55.0,180.0,top
R117,102.75,57.5,180.0,top
R118,102.75,56.5,180.0,top
R119,103.25,55.0,180.0,top
R12,73.0,34.75,0.0,top
R120,106.25,57.5,180.0,top
R121,106.25,56.5,180.0,top
R122,106.75,55.0,180.0,top
R123,109.75,57.5,180.0,top
R124,109.75,56.5,180.0,top
R125,110.25,55.0,180.0,top
R126,113.25,57.5,180.0,top
R127,113.25,56.5,180.0,top
R128,113.75,55.0,180.0,top
R129,116.75,57.5,180.0,top
R13,69.25,58.25,270.0,top
R130,116.75,56.5,180.0,top
R131,117.25,55.0,180.0,top
R132,120.25,57.5,180.0,top
R133,120.25,56.5,180.0,top
R134,120.75,55.0,180.0,top
R135,123.75,57.5,180.0,top
R136,123.75,56.5,180.0,top
R137,124.25,55.0,180.0,top
R14,93.25,42.75,180.0,top
R15,94.75,48.0,270.0,top
R16,45.25,40.5,270.0,top
R17,50.25,65.5,0.0,top
R18,45.25,57.75,270.0,top
R19,73.5,53.5,270.0,top
R2,121.5,58.75,0.0,top
R20,73.5,46.0,90.0,top
R21,73.5,51.25,90.0,top
R22,83.25,41.5,270.0,top
R23,87.25,41.5,270.0,top
R24,77.25,20.75,90.0,top
R25,88.25,41.5,270.0,top
R26,89.75,33.75,180.0,top
R27,84.25,41.5,270.0,top
R28,89.25,41.5,270.0,top
R29,85.25,41.5,270.0,top
R3,65.75,41.5,180.0,top
R30,91.25,40.5,270.0,top
R31,90.25,40.5,270.0,top
R32,89.25,30.0,270.0,top
R33,88.25,30.0,270.0,top
R34,85.0,30.0,270.0,top
R35,87.0,30.0,270.0,top
R36,83.75,30.0,270.0,top
R37,46.25,40.5,270.0,top
R38,46.25,57.75,270.0,top
R39,60.75,51.25,270.0,top
R4,62.0,41.5,180.0,top
R40,62.5,50.5,90.0,top
R41,96.0,28.25,270.0,top
R42,3.75,19.75,180.0,top
R43,3.75,23.75,270.0,top
R44,43.25,27.0,90.0,top
R45,7.25,19.75,0.0,top
R46,7.25,23.75,270.0,top
R47,44.25,27.0,90.0,top
R48,10.75,19.75,180.0,top
R49,10.75,23.75,270.0,top
R5,56.25,16.0,0.0,top
R50,45.25,27.0,90.0,top
R51,14.25,19.75,0.0,top
R52,14.25,23.75,270.0,top
R53,46.25,27.0,90.0,top
R54,17.75,19.75,180.0,top
R55,17.75,23.75,270.0,top
R56,47.25,27.0,90.0,top
R57,21.25,19.75,0.0,top
R58,21.25,23.75,270.0,top
R59,48.25,27.0,90.0,top
R6,45.0,65.5,0.0,top
R60,24.75,19.75,180.0,top
R61,24.75,23.75,270.0,top
R62,49.25,27.0,90.0,top
R63,28.25,19.75,0.0,top
R64,28.25,23.75,270.0,top
R65,50.25,27.0,90.0,top
R66,3.75,53.75,180.0,top
R67,3.75,57.75,270.0,top
R68,43.25,44.25,90.0,top
R69,7.25,53.75,0.0,top
R7,61.5,6.0,270.0,top
R70,7.25,57.75,270.0,top
R71,44.25,44.25,90.0,top
R72,10.75,53.75,180.0,top
R73,10.75,57.75,270.0,top
R74,45.25,44.25,90.0,top
R75,14.25,53.75,0.0,top
R76,14.25,57.75,270.0,top
R77,46.25,44.25,90.0,top
R78,17.75,53.75,180.0,top
R79,17.75,57.75,270.0,top
R8,69.75,40.75,0.0,top
R80,47.25,44.25,90.0,top
R81,21.25,53.75,0.0,top
R82,21.25,57.75,270.0,top
R83,48.25,44.25,90.0,top
R84,24.75,53.75,180.0,top
R85,24.75,57.75,270.0,top
R86,49.25,44.25,90.0,top
R87,28.25,53.75,0.0,top
R88,28.25,57.75,270.0,top
R89,50.25,44.25,90.0,top
R9,58.5,3.25,180.0,top
R90,99.25,23.5,180.0,top
R91,99.25,22.5,180.0,top
R92,99.75,21.0,180.0,top
R93,102.75,23.5,180.0,top
R94,102.75,22.5,180.0,top
R95,103.25,21.0,180.0,top
R96,106.25,23.5,180.0,top
R97,106.25,22.5,180.0,top
R98,106.75,21.0,180.0,top
R99,109.75,23.5,180.0,top
SW1,71.25,53.25,90.0,top
SW2,59.0,45.75,0.0,top
TP1,45.0,22.5,0.0,top
TP10,80.25,30.75,0.0,top
TP11,112.25,65.75,0.0,top
TP12,109.75,65.75,0.0,top
TP13,94.0,36.0,0.0,top
TP16,49.0,58.75,0.0,top
TP17,51.5,58.75,0.0,top
TP2,95.25,25.25,0.0,top
TP3,80.5,65.75,0.0,top
TP4,50.25,21.75,90.0,top
TP6,93.25,39.25,0.0,top
TP7,78.25,24.5,0.0,top
TP9,66.75,35.75,90.0,top
U1,60.75,38.75,180.0,top
U10,105.0,29.75,180.0,top
U11,68.5,46.0,0.0,top
U12,36.0,26.0,270.0,top
U13,36.0,37.5,270.0,top
U14,36.0,49.0,270.0,top
U15,36.0,60.5,270.0,top
U2,56.75,10.25,180.0,top
U3,104.5,63.25,90.0,top
U4,72.0,58.5,180.0,top
U5,84.25,53.75,0.0,top
U6,79.25,34.25,180.0,top
U7,85.5,35.0,270.0,top
U8,46.5,34.5,180.0,top
U9,46.5,51.75,180.0,top
